id;movie_title;num_launch_days;genre;mpaa_rating;total_gross;inflation_adjusted_gross
339;The Emperor's New Groove;270;Adventure;G;89296573;136789252
340;O Brother  Where Art Thou?;269;Comedy;PG-13;45506619;67922002
341;Double Take;269;Action;PG-13;29823162;44418589
342;Recess: School's Out;268;Comedy;G;36696761;54656124
343;Just Visiting;266;Comedy;PG-13;4777007;7114869
344;Pearl Harbor;264;Action;PG-13;198539855;295705112
345;Atlantis: The Lost Empire;264;Adventure;PG;84052762;125188122
346;crazy/beautiful;263;Drama;PG-13;16929123;25214223
347;The Princess Diaries;262;Comedy;G;108244774;161218928
348;Bubble Boy;261;Comedy;PG-13;5002310;7450434
349;Max Keeble's Big Move;260;Comedy;PG;17292381;25749730
350;Corky Romano;260;Comedy;PG-13;23978402;35705805
351;High Heels and Low Lifes;259;R;226792;337782;
352;Monsters Inc.;259;Adventure;G;289423425;416073179
353;Out Cold;258;Comedy;PG-13;13906394;20700691
354;The Royal Tenenbaums;258;Black Comedy;R;52353636;76758193
355;Beauty and the Beast (IMAX);257;Musical;G;25487028;36980311
356;Frank McKlusky C.I.;257;;0;0;
357;Snow Dogs;257;Comedy;PG;81150692;117745317
358;The Count of Monte Cristo;256;Drama;PG-13;54228104;78682079
359;Peter Pan: Return to Neverland;256;Adventure;G;48430258;70269715
360;Reign of Fire;255;Action;PG-13;43061982;62480631
361;Sorority Boys;254;Comedy;R;10198766;14797862
362;The Rookie;254;Drama;G;75600072;109691666
363;Big Trouble;254;Comedy;PG-13;7262288;10537188
364;ESPN's Ultimate X - The Movie;253;Documentary;PG;4197175;6089874
365;Bad Company;252;Action;PG-13;30157016;43756218
366;Lilo & Stitch;251;Adventure;PG;145771527;211506702
367;The Country Bears;250;Adventure;G;16988996;24650121
368;Signs;250;Thriller/Suspense;PG-13;227965690;330754439
369;Sen to Chihiro no Kamikakushi;248;Adventure;PG;10049886;14338992
370;Sweet Home Alabama;248;Comedy;PG-13;127214072;184521151
371;Moonlight Mile;248;Drama;PG-13;6830957;9909094
372;Tuck Everlasting;248;Drama;PG;19161999;27789959
373;The Santa Clause 2;247;Comedy;G;139225854;201959095
374;Treasure Planet;246;Adventure;PG;38120554;55189145
375;The Hot Chick;246;Comedy;PG-13;35081550;50624654
376;25th Hour;245;Drama;R;13084595;18325463
377;The Recruit;244;Thriller/Suspense;PG-13;52784696;73793522
378;Shanghai Knights;244;Adventure;PG-13;60470220;84537962
379;The Jungle Book 2;244;Adventure;G;47901582;66966883
380;Bringing Down the House;243;Comedy;PG-13;132675402;185481530
381;Piglet's Big Movie;242;Comedy;G;23103423;32298812
382;Ghosts of the Abyss;242;Documentary;G;17093668;23803108
383;Holes;242;Drama;PG;67383924;94203395
384;The Lizzie McGuire Movie;241;Comedy;PG;42734455;59743191
385;Finding Nemo;240;Adventure;G;380529370;518148559
386;Pirates of the Caribbean: The Curse o…;239;Adventure;PG-13;305411224;426967926
387;Freaky Friday;238;Comedy;PG;110222438;154090360
388;Open Range;238;Western;R;58331254;81547672
389;Cold Creek Manor;236;Thriller/Suspense;R;21384035;29895090
390;Under the Tuscan Sun;236;Comedy;PG-13;43601508;60944053
391;Veronica Guerin;236;Drama;R;1569918;2194759
392;Brother Bear;235;Adventure;G;85336277;119218333
393;The Haunted Mansion;234;Comedy;PG;75817994;105775678
394;Calendar Girls;233;Comedy;PG-13;31011616;42379650
395;Young Black Stallion;233;Adventure;G;6751389;9254344
396;Teacher's Pet: The Movie;233;Comedy;PG;6491969;8812764
