id;movie_title;release_date;genre;mpaa_rating;total_gross;inflation_adjusted_gross
365;Bad Company;07/06/2002;Action;PG-13;30157016;43756218
366;Lilo & Stitch;21/06/2002;Adventure;PG;145771527;211506702
367;The Country Bears;26/07/2002;Adventure;G;16988996;24650121
368;Signs;02/08/2002;Thriller/Suspense;PG-13;227965690;330754439
369;Sen to Chihiro no Kamikakushi;20/09/2002;Adventure;PG;10049886;14338992
370;Sweet Home Alabama;27/09/2002;Comedy;PG-13;127214072;184521151
371;Moonlight Mile;27/09/2002;Drama;PG-13;6830957;9909094
372;Tuck Everlasting;11/10/2002;Drama;PG;19161999;27789959
373;The Santa Clause 2;01/11/2002;Comedy;G;139225854;201959095
374;Treasure Planet;27/11/2002;Adventure;PG;38120554;55189145
375;The Hot Chick;13/12/2002;Comedy;PG-13;35081550;50624654
376;25th Hour;19/12/2002;Drama;R;13084595;18325463
377;The Recruit;31/01/2003;Thriller/Suspense;PG-13;52784696;73793522
378;Shanghai Knights;07/02/2003;Adventure;PG-13;60470220;84537962
379;The Jungle Book 2;14/02/2003;Adventure;G;47901582;66966883
380;Bringing Down the House;07/03/2003;Comedy;PG-13;132675402;185481530
381;Piglet's Big Movie;21/03/2003;Comedy;G;23103423;32298812
382;Ghosts of the Abyss;11/04/2003;Documentary;G;17093668;23803108
383;Holes;18/04/2003;Drama;PG;67383924;94203395
384;The Lizzie McGuire Movie;02/05/2003;Comedy;PG;42734455;59743191
385;Finding Nemo;30/05/2003;Adventure;G;380529370;518148559
386;Pirates of the Caribbean: The Curse o…;09/07/2003;Adventure;PG-13;305411224;426967926
387;Freaky Friday;06/08/2003;Comedy;PG;110222438;154090360
388;Open Range;15/08/2003;Western;R;58331254;81547672
389;Cold Creek Manor;19/09/2003;Thriller/Suspense;R;21384035;29895090
390;Under the Tuscan Sun;26/09/2003;Comedy;PG-13;43601508;60944053
391;Veronica Guerin;17/10/2003;Drama;R;1569918;2194759
392;Brother Bear;24/10/2003;Adventure;G;85336277;119218333
393;The Haunted Mansion;26/11/2003;Comedy;PG;75817994;105775678
394;Calendar Girls;19/12/2003;Comedy;PG-13;31011616;42379650
395;Young Black Stallion;25/12/2003;Adventure;G;6751389;9254344
396;Teacher's Pet: The Movie;16/01/2004;Comedy;PG;6491969;8812764
397;Miracle;06/02/2004;Drama;PG;64378093;87392478
398;Confessions of a Teenage Drama Queen;20/02/2004;Comedy;PG;29331068;39816568
399;Hidalgo;05/03/2004;Western;PG-13;67286731;91340921
400;The Ladykillers;26/03/2004;Comedy;R;39692139;53881593
401;Home on the Range;02/04/2004;Comedy;PG;50026353;67910166
402;The Alamo;09/04/2004;Western;PG-13;22406362;30416359
403;Raising Helen;28/05/2004;Comedy;PG-13;37485528;50886144
404;Around the World in 80 Days;16/06/2004;Adventure;PG;24004159;32585356
405;America's Heart and Soul;02/07/2004;Documentary;Not Rated;314000;426246
406;King Arthur;07/07/2004;Adventure;PG-13;51877963;70423706
407;The Village;30/07/2004;Thriller/Suspense;PG-13;114197520;155021748
408;The Princess Diaries 2: Royal Engagement;11/08/2004;Romantic Comedy;G;95149435;129164207
409;Mr. 3000;17/09/2004;Comedy;PG-13;21800302;29593641
410;The Last Shot;24/09/2004;Comedy;R;463730;629502
411;Ladder 49;01/10/2004;Action;PG-13;74541707;101161045
412;The Incredibles;05/11/2004;Adventure;PG;261441092;354488708
413;National Treasure;19/11/2004;Adventure;PG;173005002;234069353
414;The Life Aquatic with Steve Zissou;10/12/2004;Comedy;R;24006726;32198655
